author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Boris Gruschke,Entwurf eines Eventkorrelators mit Abhängigkeitsgraphen.,Null,2022,1-304,https://d-nb.info/1265598762,utzverlag GmbH,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8316-8661-2,Null,Null,Null
Wei Li 0006,Grafische Simulation und Kollisionsvermeidung von Robotern.,Null,1992,1-131,https://d-nb.info/921006691,Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-528-06494-5,Null,Null,Null
Lutz-Peter Kurdelski,"Modell eines adaptierbaren, rechnergestützten, wissenschaftlichen Arbeitsplatzes am Alfred-Wegener-Institut für Polar- und Meeresforschung = Modelling an adaptive, computer based, scientific workplace at the Alfred Wegener Institute for Polar and Marine Research.",Darmstadt University of Technology,1997,1-192,https://d-nb.info/950557560,Kamloth,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sebastian Schmitz,A local and probabilistic model for low-cycle fatigue: new aspects of structural analysis.,Null,2014,1-148,https://d-nb.info/1058886541,Hartung-Gorre,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86628-511-8,Null,Null,Null
Christian Prehofer,Solving higher order equations: from logic to programming.,Null,1998,1-186,https://d-nb.info/952799111,Birkhäuser,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-7643-4032-2,Null,Null,Null
Rainer Knauf,Logische Programmierung und wissensbasierte Systeme: eine Einführung.,Null,1993,1-244,https://d-nb.info/930181891,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86111-310-2,Null,Null,Null
Waltraud Häckl,Zugriffskontrolle bei Datenbanken.,Null,1993,1-278,https://d-nb.info/930279948,Oldenbourg Verlag,Null,Null,Null,3,Null,Null,Null,Null,Null,Null,Null,Null,978-3-486-22186-2,Sicherheit in der Informationstechnik,Null,Null
Asarnusch Rashid,Asynchrone Anwenderbeteiligung in Software-Projekten.,Null,2016,1-436,"https://nbn-resolving.org/urn:nbn:de:0072-287480, https://d-nb.info/1113776293, https://d-nb.info/1117632261",KIT Scientific Publishing,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86644-870-4,Null,Null,Null
Yining Li,Netzweite Lichtsignalsteuerung auf Basis rekurrenter neuronaler Netze.,Null,2014,1-137,https://d-nb.info/1065957440,"Lehrstuhl für Verkehrstechnik, Techn. Univ. München",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-937631-16-5,Null,Null,Null
Gereon Schüller,"Probabilistic Tracking with Database Systems, Second Edition.",Null,2019,1-240,"http://www.epubli.de/shop/isbn/9783750265387, https://nbn-resolving.org/urn:nbn:de:101:1-2020011022514645312952, https://d-nb.info/1201939798, https://d-nb.info/1202658768",epubli,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-7502-6538-7,Null,Null,Null
Christian Hartmann 0001,Wireless Networking: Adaptive and Distributed Resource Management.,Technical University Munich,2015,Null,"http://www.dr.hut-verlag.de/978-3-8439-2403-0.html, https://nbn-resolving.org/urn:nbn:de:101:1-2016010112009, https://d-nb.info/1080754482",Verlag Dr. Hut,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Joachim F. Schreiber,"Ein für Hornklauselmengen lineares, allgemeines aussagenlogisches Beweisverfahren, 2. unveränderte Auflage.",Null,2019,1-174,https://d-nb.info/1195796420,Utz,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8316-8376-5,Null,Null,Null
Christine Schneider,Automatische Indexierung und Syntaxanalyse: zur Entwicklung sprachanalyt. Komponenten von Informationssystemen auf empir. Grundlage ; mit zahlr. Tab.,"University of Regensburg, Germany",1985,1-231,https://d-nb.info/850551595,"Buske, Hamburg, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-87118-719-3,Null,Null,Null
Reinhard Möller 0001,Relevanz computergraphischer Methoden für die Automatisierungstechnik.,"University of Wuppertal, Germany",1995,1-219,https://d-nb.info/94681256X,VDI-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-18-317120-0,Null,Null,Null
Dominik Herrmann,Beobachtungsmöglichkeiten im Domain Name System: Angriffe auf die Privatsphäre und Techniken zum Selbstdatenschutz.,"University of Hamburg, Germany",2016,1-490,https://d-nb.info/109158480X,Springer Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-13262-0,Null,Null,Null
Anne Koziolek,Automated Improvement of Software Architecture Models for Performance and Other Quality Attributes.,Null,2014,Null,"https://nbn-resolving.org/urn:nbn:de:0072-323422, https://d-nb.info/1047837439",KIT Scientific Publishing,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Thea Radüntz,Biophysiological Mental-State Monitoring during Human-Computer Interaction.,"Humboldt University of Berlin, Germany",2021,Null,"http://edoc.hu-berlin.de/18452/23979, https://nbn-resolving.org/urn:nbn:de:kobv:11-110-18452/23979-7, https://d-nb.info/1241116970",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Annejet P. Meijler,Automation in anesthesia - a relief?: A systemat. approach to computers in patient monitoring.,Null,1987,1-181,https://d-nb.info/871441985,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-18204-7,Null,Null,Null
Julia Steube,"""Wie erstelle ich ein elektronisches Wörterbuch?"": nichtprofessionelle Lexikografen und ihre Nachschlagewerke im Internet: eine explorative Untersuchung.",Null,2014,1-287,https://d-nb.info/1053805268,Universitäts-Verlag Rhein-Ruhr,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-95605-004-6,Null,Null,Null
Michael Bruns,Strukturentwicklungen zur Systemtechnik für Ingenieure.,"RWTH Aachen University, Germany",1989,Null,https://d-nb.info/900635665,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Florian Jotzo,"Der Schutz personenbezogener Daten in der Cloud, 2. Auflage.",Null,2020,1-214,https://d-nb.info/1174693118,Nomos,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8487-3616-4,Null,Null,Null
Mayutan Arumaithurai,An Intelligent and Powerful Data Plane Support To Enhance Future Communication.,"University of Göttingen, Germany",2018,Null,"https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-002E-E446-7-5, https://d-nb.info/1162697784",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Jürgen Rauschenbach,Realisierung und Leistungsbewertung eines Transportdienstes am Beispiel des Rechnernetzes DELTA.,Null,1986,1-119,https://d-nb.info/870212508,Iir,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
